feature,behavior_bucket,flatness_score,variation_score,flatness_rank,periodicity_score,periodicity_rank,period_lag_days_cycle_relevant,robust_cv,mad_diff
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,flat_minimally_varying,0.7113636363636364,0.28863636363636364,15,0.4452144221222231,28,15,0.12466868863461676,0.017135903239250183
prosody_egemaps_alphaRatioUV_sma3nz_amean,nonperiodic_varying,0.28409090909090906,0.7159090909090909,71,0.4379746448693719,29,15,0.2587420043195022,2.0268049240112305
prosody_egemaps_mfcc2_sma3_stddevNorm,nonperiodic_varying,0.26363636363636367,0.7363636363636363,73,0.46239634100357285,23,15,0.506606939082795,0.7601233720779419
prosody_egemaps_logRelF0-H1-H2_sma3nz_amean,nonperiodic_varying,0.2250000000000001,0.7749999999999999,74,0.3404245726250949,72,15,0.3769184174975958,2.586975574493408
prosody_egemaps_mfcc3_sma3_amean,periodic_varying,0.13409090909090904,0.865909090909091,80,0.4801893846381778,21,14,0.540406980866334,4.803532600402832
