feature,hormone,rolling_window_days,lag_days_hormone_leads,spearman_rho,abs_spearman_rho,n_obs
prosody_egemaps_mfcc2_sma3_stddevNorm,e3g,5,1,-0.21870191808530082,0.21870191808530082,51
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,e3g,3,2,-0.2184128364534011,0.2184128364534011,31
prosody_egemaps_alphaRatioUV_sma3nz_amean,pdg,3,1,0.21256429327967197,0.21256429327967197,31
prosody_egemaps_logRelF0-H1-H2_sma3nz_amean,pdg,5,1,0.2107812153400757,0.2107812153400757,51
prosody_egemaps_logRelF0-H1-H2_sma3nz_amean,pdg,5,3,0.19584946646136334,0.19584946646136334,51
prosody_egemaps_alphaRatioUV_sma3nz_amean,e3g,3,1,-0.18715338155933167,0.18715338155933167,31
prosody_egemaps_alphaRatioUV_sma3nz_amean,e3g,5,1,-0.18538970539681127,0.18538970539681127,51
prosody_egemaps_mfcc3_sma3_amean,e3g,5,1,0.17488911661457002,0.17488911661457002,51
prosody_egemaps_mfcc3_sma3_amean,pdg,5,1,-0.17357654301678985,0.17357654301678985,51
prosody_egemaps_mfcc3_sma3_amean,e3g,3,1,0.17061612155085623,0.17061612155085623,31
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,e3g,3,1,-0.16577594788983904,0.16577594788983904,31
prosody_egemaps_alphaRatioUV_sma3nz_amean,e3g,3,3,-0.154497793933568,0.154497793933568,31
prosody_egemaps_mfcc3_sma3_amean,e3g,3,3,0.15167407446219733,0.15167407446219733,31
prosody_egemaps_logRelF0-H1-H2_sma3nz_amean,pdg,3,2,0.1314913844576339,0.1314913844576339,31
prosody_egemaps_alphaRatioUV_sma3nz_amean,e3g,5,0,-0.1107062877994543,0.1107062877994543,51
prosody_egemaps_alphaRatioUV_sma3nz_amean,pdg,5,0,-0.10690443654223672,0.10690443654223672,51
prosody_egemaps_mfcc2_sma3_stddevNorm,e3g,5,0,-0.10346466635713511,0.10346466635713511,51
prosody_egemaps_logRelF0-H1-H2_sma3nz_amean,pdg,3,3,0.10165390096934501,0.10165390096934501,31
prosody_egemaps_alphaRatioUV_sma3nz_amean,pdg,5,2,0.099755593431292,0.099755593431292,51
prosody_egemaps_alphaRatioUV_sma3nz_amean,pdg,3,0,0.09135827785169962,0.09135827785169962,31
prosody_egemaps_mfcc3_sma3_amean,e3g,5,0,0.08825726132826486,0.08825726132826486,51
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,pdg,3,3,0.08753530361249154,0.08753530361249154,31
prosody_egemaps_mfcc3_sma3_amean,pdg,5,0,-0.07857159264916297,0.07857159264916297,51
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,e3g,5,1,-0.05956368464409269,0.05956368464409269,51
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,e3g,5,3,0.05313780301031674,0.05313780301031674,51
prosody_egemaps_alphaRatioUV_sma3nz_amean,e3g,3,0,-0.03065443318644226,0.03065443318644226,31
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,e3g,5,0,-0.030143249253653536,0.030143249253653536,51
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,e3g,5,2,-0.017063456771142054,0.017063456771142054,51
prosody_egemaps_alphaRatioUV_sma3nz_amean,pdg,5,1,-0.012084729331286282,0.012084729331286282,51
prosody_egemaps_mfcc3_sma3_amean,e3g,3,0,-0.006050217076271499,0.006050217076271499,31
prosody_egemaps_F1bandwidth_sma3nz_stddevNorm,e3g,3,0,-0.006050217076271499,0.006050217076271499,31
