feature,kruskal_h,p_value,eta_squared
egemaps_F2frequency_sma3nz_amean_median,7.801204159824849,0.05030394728389751,0.19204816639299394
egemaps_F1frequency_sma3nz_amean_median,7.099999999999994,0.06877781936579992,0.16399999999999978
egemaps_F3frequency_sma3nz_amean_median,5.518226600985216,0.1375525200212048,0.10072906403940862
egemaps_HNRdBACF_sma3nz_amean_median,4.8163108921729645,0.18575260917192485,0.07265243568691858
egemaps_jitterLocal_sma3nz_amean_median,4.076354679802947,0.25333636667470344,0.043054187192117864
egemaps_F0semitoneFrom27.5Hz_sma3nz_amean_median,3.8665024630541893,0.2762449633251024,0.03466009852216757
egemaps_shimmerLocaldB_sma3nz_amean_median,3.386699507389153,0.33575682752818814,0.015467980295566121
