feature,hormone,n,raw_rho,date_partial_rho,feature_drift
segment_h1h2_mean,pdg,29,0.06995073891625614,-0.05033627611767467,-0.15699080793420414
segment_h1h2_mean,e3g,29,0.24039408866995068,0.006596272026917616,-0.15699080793420414
segment_mfcc2_mean,pdg,29,0.3660098522167487,0.32864718697422857,0.4398484115465247
segment_mfcc2_mean,e3g,29,0.21871921182266005,0.11886364598786951,0.4398484115465247
segment_f1_bandwidth_mean,pdg,29,0.10541871921182264,0.1052223586422408,-0.13933236574746008
segment_f1_bandwidth_mean,e3g,29,-0.022167487684729058,-0.03185219175792656,-0.13933236574746008
segment_f0_mean,pdg,29,-0.07635467980295566,-0.0967909325226933,-0.07281083696178037
segment_f0_mean,e3g,29,0.051231527093596047,0.016062956519803107,-0.07281083696178037
