family_label,n_features,mean_abs,median_abs,max_abs
Surface / damping (mucosa & closure),24,0.6018099143739011,0.61909357900971,1.2951639573452827
Spectral envelope / timbre (MFCC),8,0.5401437794026688,0.4170590152638936,1.337201454637905
Geometric (vocal-tract shape),6,0.3776500539318363,0.3535609767760659,0.7081734422313025
Source pitch (fold mass/tension),8,0.33249512598811515,0.2704246234662563,0.7601426984751698
