feature_set,n_features,n_days,balanced_accuracy,null_mean,null_p95,p_value
Surface + timbre (mechanism signal),32,33,0.7261029411764706,0.4876020220588235,0.6672794117647058,0.017991004497751123
Geometry only (negative control),6,33,0.42463235294117646,0.4930946691176471,0.6672794117647058,0.7326336831584208
