task,n_voice_days,target_sd,r2_all_covariates,r2_f0_only,r2_loudness_only
vowel,58,1.8855973908479162,0.2740021612068584,0.25124356939673687,0.043393251070328986
prosody,55,0.9361866672243323,0.05782825243252143,0.017197181971060904,0.026470622789787734
