feature,in_window_n,in_window_rho_pdg,heldout_n,heldout_rho_temp,heldout_rho_temp_datectrl,heldout_rho_est_pdg,direction_agrees
HNR (vowel),29,0.4418719211822659,19,0.17566989335698416,0.037798278207755845,0.10352088276886423,True
HNR (prosody),29,0.40492610837438414,17,0.15101314743016844,0.3886766934565601,-0.3541196558148942,True
MFCC1 (vowel),29,0.40738916256157626,19,-0.39701395898678427,-0.04602830893784294,-0.42587704936558063,False
Hammarberg (prosody),29,0.4778325123152708,17,0.020871735823681816,0.1921739402482895,-0.4975991715329978,True
F2 bandwidth (prosody),29,0.3926108374384235,17,-0.13873565576917915,-0.04982062078643139,0.2152192735771555,False
MFCC2 (prosody),29,0.4463054187192117,17,-0.5856363522291899,-0.283595048751558,-0.6853436442279633,False
MFCC3 (vowel),29,-0.3999999999999999,19,-0.07905145201064288,0.1142719700200242,-0.16379886514060796,True
