task,n_voice_days,target_sd,r2_all_covariates,r2_f0_only,r2_loudness_only
vowel,58,2.784190805853932,0.10732947320673802,0.10644525631100332,7.28099912703506e-05
prosody,55,2.286544020888584,0.11188540411149706,0.06197908841402244,0.0774042947458563
