feature,task,variant,hormone,cliffs_delta,cliffs_magnitude,luteal_minus_follicular,phase_p,cycles_consistent,cycles_total,n_hormone,raw_rho,boot_lo,boot_hi,partial_rho_date
H1-H2,vowel,raw,Progesterone (PdG),0.28063241106719367,small,1.1034504175186157,0.07749994262999847,3,4,29,0.10738916256157634,-0.2597272250791963,0.4693662347008004,0.2566012522483134
H1-H2,vowel,raw,Estrogen (E3G),0.28063241106719367,small,1.1034504175186157,0.07749994262999847,3,4,29,-0.09507389162561573,-0.47729733348376363,0.3606855468023709,0.1764763252896013
H1-H2,vowel,residual,Progesterone (PdG),0.2964426877470356,small,1.3155014395253204,0.0621383785829675,3,4,29,0.15615763546798028,-0.2254279930815635,0.5025451504009447,0.23898515348344865
H1-H2,vowel,residual,Estrogen (E3G),0.2964426877470356,small,1.3155014395253204,0.0621383785829675,3,4,29,0.03793103448275861,-0.36292230908026624,0.5003272922601405,0.20944886948575248
H1-H2,prosody,raw,Progesterone (PdG),0.2585227272727273,small,0.6182794570922852,0.11111431917193369,2,3,29,0.04630541871921181,-0.27096497218173377,0.3479706363133217,-0.07225465607154165
H1-H2,prosody,raw,Estrogen (E3G),0.2585227272727273,small,0.6182794570922852,0.11111431917193369,2,3,29,0.20344827586206893,-0.17844649060943313,0.5644637125903424,-0.029334954830422266
H1-H2,prosody,residual,Progesterone (PdG),0.3153409090909091,small,0.9374439650661088,0.051739614921526615,2,3,29,0.03645320197044334,-0.29642392091112596,0.3353480001845058,-0.07311413168760486
H1-H2,prosody,residual,Estrogen (E3G),0.3153409090909091,small,0.9374439650661088,0.051739614921526615,2,3,29,0.17093596059113297,-0.20210498075402733,0.5328148343099129,-0.04918801959816338
