family_label,count,mean,median,max
Geometric (vocal-tract shape),3,0.11233211233211234,0.14285714285714285,0.14652014652014653
Source pitch (fold mass/tension),4,0.06593406593406594,0.07142857142857142,0.11355311355311355
Spectral envelope / timbre (MFCC),4,0.07051282051282051,0.05860805860805861,0.1282051282051282
Surface / damping (mucosa & closure),12,0.11996336996336997,0.09340659340659341,0.3333333333333333
