formant,mean_hz,within_recording_sd_hz,vowel_vs_prosody_shift_hz,cycle_shift_hz,sensitivity_ratio_withinrec,sensitivity_ratio_task
F1 (mouth openness),614.9616088867188,184.00872489831818,36.65423583984375,1.7529296875,104.97210824282887,20.910271587743733
F2 (tongue front-back),1674.08154296875,209.5595521817595,114.32217407226562,5.765167236328125,36.34925815529844,19.829810547712437
F3 (fine tract shape),2770.48876953125,235.02253587546693,29.9547119140625,34.8577880859375,6.742324994805992,0.8593405823746739
