task,n_periovulatory,n_luteal,hnr_periovulatory,hnr_luteal,h1h2_periovulatory,h1h2_luteal
prosody,7,28,6.556823253631592,8.025863409042358,6.806225776672363,6.348693370819092
vowel,7,28,7.3345606327056885,11.042925834655762,4.33703875541687,2.785635828971863
