family,family_label,feature,label,task,cliffs_delta,magnitude,n_days
peripheral_cover,Cover quality (mucosa/closure),egemaps_logRelF0-H1-A3_sma3nz_amean,Source tilt (H1-A3),vowel,0.4485294117647059,medium,33
timbre,Timbre (tone colour),egemaps_mfcc1V_sma3nz_amean,Timbre MFCC1 (brightness),vowel,0.25735294117647056,small,33
timbre,Timbre (tone colour),egemaps_mfcc2V_sma3nz_amean,Timbre MFCC2 (low-vs-mid colour),vowel,0.41911764705882354,medium,33
timbre,Timbre (tone colour),egemaps_mfcc3V_sma3nz_amean,Timbre MFCC3,vowel,-0.022058823529411766,negligible,33
timbre,Timbre (tone colour),egemaps_mfcc4V_sma3nz_amean,Timbre MFCC4,vowel,0.27205882352941174,small,33
source_pitch,Pitch level,egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,Pitch (F0 mean),vowel,-0.3161764705882353,small,33
source_pitch,Pitch level,egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,Pitch (F0 median),vowel,-0.3382352941176471,medium,33
central_control,Pitch/timing control,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,Pitch variability (F0 SD),vowel,0.11764705882352941,negligible,33
central_control,Pitch/timing control,egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,Pitch range,vowel,0.0,negligible,33
central_control,Pitch/timing control,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,Pitch rising slope,vowel,0.051470588235294115,negligible,33
central_control,Pitch/timing control,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,Pitch falling slope,vowel,0.25735294117647056,small,33
central_control,Pitch/timing control,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,Pitch rising-slope SD,vowel,-0.22794117647058823,small,33
central_control,Pitch/timing control,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,Pitch falling-slope SD,vowel,0.20588235294117646,small,33
central_control,Pitch/timing control,egemaps_VoicedSegmentsPerSec,Speaking-rate proxy,vowel,0.16544117647058823,small,33
central_control,Pitch/timing control,egemaps_MeanVoicedSegmentLengthSec,Mean voiced-segment length,vowel,0.01838235294117647,negligible,33
central_control,Pitch/timing control,egemaps_StddevVoicedSegmentLengthSec,Voiced-segment length SD,vowel,0.014705882352941176,negligible,33
geometry_damping,Resonance damping,egemaps_F1bandwidth_sma3nz_amean,F1 bandwidth (resonance damping),vowel,0.13970588235294118,negligible,33
geometry_damping,Resonance damping,egemaps_F2bandwidth_sma3nz_amean,F2 bandwidth (resonance damping),vowel,0.5441176470588235,large,33
geometry_damping,Resonance damping,egemaps_F3bandwidth_sma3nz_amean,F3 bandwidth (resonance damping),vowel,0.14705882352941177,small,33
geometry,Vocal-tract geometry (SPARED),egemaps_F1frequency_sma3nz_amean,F1 (mouth openness),vowel,0.25,small,33
geometry,Vocal-tract geometry (SPARED),egemaps_F2frequency_sma3nz_amean,F2 (tongue front-back),vowel,0.25,small,33
geometry,Vocal-tract geometry (SPARED),egemaps_F3frequency_sma3nz_amean,F3 (fine tract shape),vowel,0.10294117647058823,negligible,33
